road,id,model_type,condition,name,lat,lon,length
N1,200557.0,link,,link 279,21.99813280208405,92.0878891446404,545.0
N1,200558.0,bridge,A,bridge 275,21.9958359641681,92.0874589126142,3.0
N1,200559.0,link,,link 280,21.995788483180903,92.087452488574,11.0
N1,200560.0,bridge,A,bridge 276,21.9957410021937,92.0874460645338,12.4
N1,200561.0,link,,link 281,21.99398722045165,92.0869021359535,424.0
N1,200562.0,bridge,A,bridge 277,21.9922334387096,92.0863582073732,58.65
N1,200563.0,link,,link 282,21.991256841542302,92.0860220868116,232.0
N1,200564.0,bridge,A,bridge 278,21.990280244375,92.08568596625,14.2
N1,200565.0,link,,link 283,21.988660559256452,92.0848401658836,408.0
N1,200566.0,bridge,B,bridge 279,21.9870408741379,92.0839943655172,23.1
N1,200567.0,link,,link 284,21.9844724589557,92.08238384596609,670.0
N1,200568.0,bridge,B,bridge 280,21.9819040437735,92.080773326415,22.45
N1,200569.0,link,,link 285,21.98118320357965,92.07982247679016,267.0
N1,200570.0,bridge,A,bridge 281,21.9804623633858,92.0788716271653,18.7
N1,200571.0,link,,link 286,21.9798804688274,92.0773604267405,345.0
N1,200572.0,bridge,A,bridge 282,21.979298574269,92.0758492263157,3.5
N1,200573.0,link,,link 287,21.9765834886094,92.07208485263669,1090.0
N1,200574.0,bridge,A,bridge 283,21.9738684029498,92.0683204789577,2.5
N1,200575.0,link,,link 288,21.9714132613153,92.0662352953299,752.0
N1,200576.0,bridge,A,bridge 284,21.9689581196808,92.0641501117021,1.5
N1,200577.0,link,,link 289,21.96558598846785,92.0637334940863,671.0
N1,200578.0,bridge,A,bridge 285,21.9622138572549,92.0633168764705,22.4
N1,200579.0,link,,link 290,21.960726984272597,92.06429800315459,386.0
N1,200580.0,bridge,A,bridge 286,21.9592401112903,92.0652791298387,8.2
N1,200581.0,link,,link 291,21.9586361374633,92.06583620582845,317.0
N1,200582.0,bridge,A,bridge 287,21.9580321636363,92.0663932818182,3.0
N1,200583.0,link,,link 292,21.9550558521636,92.06710354513174,616.0
N1,200584.0,bridge,B,bridge 288,21.9520795406909,92.0678138084453,22.35
N1,200585.0,link,,link 293,21.948739456354097,92.06737123469985,752.0
N1,200586.0,bridge,A,bridge 289,21.9453993720173,92.0669286609544,1.4
N1,200587.0,link,,link 294,21.940714193732198,92.0647356922658,1163.0
N1,200588.0,bridge,A,bridge 290,21.9360290154471,92.0625427235772,4.5
N1,200589.0,link,,link 295,21.9349872284745,92.06210443886366,252.0
N1,200590.0,bridge,A,bridge 291,21.9339454415019,92.0616661541501,9.3
N1,200591.0,link,,link 296,21.93312705705665,92.0612335560559,216.0
N1,200592.0,bridge,A,bridge 292,21.9323086726114,92.0608009579617,4.5
N1,200593.0,link,,link 297,21.931344961305697,92.06024249773085,255.0
N1,200594.0,bridge,A,bridge 293,21.93038125,92.0596840375,4.7
N1,200595.0,link,,link 298,21.9241466052564,92.0597101681517,1338.0
N1,200596.0,bridge,A,bridge 294,21.9179119605128,92.0597362988034,2.0
N1,200597.0,link,,link 299,21.9173355634247,92.05986311507826,197.0
N1,200598.0,bridge,A,bridge 295,21.9167591663366,92.0599899313531,3.0
N1,200599.0,link,,link 300,21.915415943482202,92.06026857016084,358.0
N1,200600.0,bridge,A,bridge 296,21.9140727206278,92.0605472089686,4.0
N1,200601.0,link,,link 301,21.9118478163804,92.0605566677915,507.0
N1,200602.0,bridge,A,bridge 297,21.909622912133,92.0605661266144,9.2
N1,200603.0,link,,link 302,21.900323282033348,92.0601336011525,1992.0
N1,200604.0,bridge,A,bridge 298,21.8910236519337,92.0597010756906,13.64
N1,200605.0,link,,link 303,21.886122586651098,92.05935131023425,1109.0
N1,200606.0,bridge,A,bridge 299,21.8812215213685,92.0590015447779,9.3
N1,200607.0,link,,link 304,21.872079829690485,92.05942474689897,686.0
N1,200608.0,bridge,A,bridge 300,21.862938138012467,92.05984794902004,2.6999999999999997
N1,200609.0,link,,link 305,21.861455358871083,92.06001932878927,1717.0
N1,200610.0,bridge,C,bridge 301,21.8599725797297,92.0601907085585,56.3
N1,200611.0,link,,link 306,21.85645068489245,92.06057416422394,792.0
N1,200612.0,bridge,A,bridge 302,21.8529287900552,92.0609576198894,14.3
N1,200613.0,link,,link 307,21.847305305652924,92.06261156270835,1195.0
N1,200614.0,bridge,A,bridge 303,21.84168182125065,92.0642655055273,3.75
N1,200615.0,link,,link 308,21.837892568268625,92.06626954830506,1119.0
N1,200616.0,bridge,A,bridge 304,21.8341033152866,92.0682735910828,15.8
N1,200617.0,link,,link 309,21.83106456835755,92.06978857292235,712.0
N1,200618.0,bridge,A,bridge 305,21.8280258214285,92.0713035547619,7.3
N1,200619.0,link,,link 310,21.82690450102035,92.0718250914966,276.0
N1,200620.0,bridge,C,bridge 306,21.8257831806122,92.0723466282313,45.5
N1,200621.0,link,,link 311,21.82346302783025,92.07318338355469,546.0
N1,200622.0,bridge,A,bridge 307,21.8211428750483,92.0740201388781,12.4
N1,200623.0,link,,link 312,21.819656067634597,92.07398218711859,337.0
N1,200624.0,bridge,A,bridge 308,21.8181692602209,92.0739442353591,14.0
N1,200625.0,link,,link 313,21.810796531392498,92.0755882240898,1822.0
N1,200626.0,bridge,A,bridge 309,21.8034238025641,92.0772322128205,14.0
N1,200627.0,link,,link 314,21.79563890547555,92.07804310963606,1772.0
N1,200628.0,bridge,A,bridge 310,21.787854008387,92.0788540064516,20.6
N1,200629.0,link,,link 315,21.786725207971276,92.07897496611466,97.0
N1,200630.0,bridge,B,bridge 311,21.785596407555552,92.0790959257777,17.6
N1,200631.0,link,,link 316,21.779565164888876,92.0815051995555,1750.0
N1,200632.0,bridge,A,bridge 312,21.7735339222222,92.0839144733333,15.7
N1,200633.0,link,,link 317,21.772564128858498,92.08301221397039,328.0
N1,200634.0,bridge,D,bridge 313,21.7715943354948,92.0821099546075,297.075
N1,200635.0,link,,link 318,21.755870476995952,92.08236716458694,3933.0
N1,200636.0,bridge,B,bridge 314,21.7401466184971,92.0826243745664,9.3
N1,200637.0,link,,link 319,21.739354768823,92.08290600324065,188.0
N1,200638.0,bridge,A,bridge 315,21.7385629191489,92.0831876319149,14.0
N1,200639.0,link,,link 320,21.735584889353852,92.08346823250155,674.0
N1,200640.0,bridge,A,bridge 316,21.7326068595588,92.0837488330882,5.2
N1,200641.0,link,,link 321,21.73179734552525,92.0837822386435,183.0
N1,200642.0,bridge,C,bridge 317,21.7309878314917,92.0838156441988,38.599999999999994
N1,200643.0,link,,link 322,21.72753088279955,92.0836798963374,782.0
N1,200644.0,bridge,A,bridge 318,21.7240739341074,92.083544148476,12.6
N1,200645.0,link,,link 323,21.71666265500435,92.08210960440874,1840.0
N1,200646.0,bridge,A,bridge 319,21.7092513759013,92.0806750603415,12.8
N1,200647.0,link,,link 324,21.706040706499,92.07966034275135,789.0
N1,200648.0,bridge,A,bridge 320,21.7028300370967,92.0786456251612,9.3
N1,200649.0,link,,link 325,21.68955466351235,92.07772654999064,3122.0
N1,200650.0,bridge,C,bridge 321,21.676279289928,92.0768074748201,59.085
